Term,Type,Broad_Category,Description,Source_Connection,Target_Connection
AX1: No_Meta_Only_Recursive,Axiom,foundation,"Every entity is a container identified by URN. No metadata layer — only containers referencing containers via wires.",,
AX2: Code_Is_Axiomatic,Axiom,foundation,"Code loaded as atomic morphisms into semantic folders. Code never stored in state_payload. Binding code to metadata = structural binding loss.",,
AX3: DB_Is_Truth,Axiom,foundation,"morphism_log is single source of truth. containers and wires tables are materialized caches. State reconstructible by replay.",,
AX4: Hypergraph_Superposition,Axiom,foundation,"DB stores THE graph — superposition of all projected graphs. Multiple wires between same (A,B) via different ports. UNIQUE on 4-tuple. Query collapses superposition.",,
AX5: Discovery_Retrieval_Duality,Axiom,foundation,"Gap between n²×|P_s|×|P_t| potential edges and k actual edges IS knowledge. D/R ratio per sub-category is first-class optimization metric.",,
AuthUser,Object,identity,"Authenticated user container. Morphisms grant access edges. No special ontological status.","OWNS, CAN_HYDRATE",
AppAdmin,Object,identity,"Application administrator. AuthUser with elevated OWNS edges to system containers.","OWNS, CAN_HYDRATE, PRE_FLIGHT_CONFIG",
SuperAdmin,Object,identity,"Root administrator. Transitive OWNS over all containers.","OWNS, CAN_HYDRATE, PRE_FLIGHT_CONFIG, CAN_SCHEDULE, CAN_FEDERATE",
AppTemplate,Object,structure,"Template container. Reusable subgraph pattern. Instantiation = ADD + LINK sequence.",CAN_HYDRATE,"OWNS, PRE_FLIGHT_CONFIG"
NodeContainer,Object,structure,"General-purpose container. Default object in C. Payload in state_payload JSONB.","LINK_NODES, SYNC_ACTIVE_STATE","OWNS, CAN_HYDRATE, LINK_NODES, ADD_NODE_CONTAINER"
AgnosticModel,Object,compute,"LLM/ML model container. Provider-agnostic URN. Provider config in state_payload.",CAN_HYDRATE,"OWNS, CAN_SCHEDULE, CAN_ROUTE"
SystemTool,Object,compute,"Tool container. Discovered via graph traversal. Exposed via MCP protocol surface.",,"OWNS, CAN_HYDRATE, CAN_ROUTE"
UI_Lens,Object,surface,"UI rendering surface. Functor output: containers × wires → React component tree.",SYNC_ACTIVE_STATE,"OWNS, CAN_HYDRATE"
RuntimeSurface,Object,surface,"Execution surface. HTTP/WS/MCP endpoint. Tools wire here to become executable.",,"OWNS, PRE_FLIGHT_CONFIG, CAN_ROUTE"
ComputeResource,Object,compute,"GPU device, Docker container, thread pool, VM. Schedulable resource container.",,"OWNS, CAN_SCHEDULE"
ProtocolAdapter,Object,protocol,"WS channel, MCP session, gRPC stream, HTTP endpoint. Routable communication container.",CAN_ROUTE,"OWNS, CAN_HYDRATE"
InfraService,Object,infra,"Postgres instance, disk volume, network segment. Persistable infrastructure container.",,"OWNS, CAN_PERSIST"
MemoryStore,Object,memory,"Vector embeddings, context window, conversation history. Ephemeral or persistent memory container.",CAN_HYDRATE,"OWNS, CAN_PERSIST"
OWNS,Morphism,relationship,"Ownership edge. Automatic transitive propagation. Decomposition: LINK(owner, 'owns', target, 'child').",identity.*,any
CAN_HYDRATE,Morphism,relationship,"Hydration permission. Declared transitivity via manifest/wire_config. Decomposition: LINK(actor, 'can_hydrate', target, 'hydrate').",identity.* | structure.* | memory.*,any
PRE_FLIGHT_CONFIG,Morphism,relationship,"Runtime configuration. Sets initial state before activation. Decomposition: MUTATE(surface, config_payload).",identity.admin+,surface.* | structure.*
SYNC_ACTIVE_STATE,Morphism,relationship,"State synchronization. Surface pushes current state to container. Decomposition: MUTATE(container, current_state).",surface.*,structure.*
