term,workspace,domain,definition,source,confidence,ambiguity
AgentWorkspace,FFS0,seeder,Parsed .agent-bearing workspace payload used for sync.,sdk/seeder/agent_walker.py,high,false
NodeUpserter,FFS0,seeder,Service that upserts node/container payloads and registers tools.,sdk/seeder/node_upserter.py,high,false
code_ref,FFS0,tooling,Executable pointer for tool resolution and execution binding.,sdk/seeder/node_upserter.py|sdk/README.md,high,false
ffs0-seed CLI,FFS0,operations,Filesystem-to-DB synchronization entrypoint.,sdk/seeder/cli.py,high,false
SystemRole,FFS2_DataServer,auth,System-level user role enum.,workspaces/FFS1_ColliderDataSystems/FFS2_ColliderBackends_MultiAgentChromeExtension/ColliderDataServer/src/db/models.py,high,false
AppRole,FFS2_DataServer,auth,Per-application membership role enum.,workspaces/FFS1_ColliderDataSystems/FFS2_ColliderBackends_MultiAgentChromeExtension/ColliderDataServer/src/db/models.py,high,false
Application,FFS2_DataServer,entity,Top-level application entity with owner/config/root_node linkage.,workspaces/FFS1_ColliderDataSystems/FFS2_ColliderBackends_MultiAgentChromeExtension/ColliderDataServer/src/db/models.py,high,true
Node,FFS2_DataServer,entity,Persisted hierarchical node row carrying container JSON and metadata.,workspaces/FFS1_ColliderDataSystems/FFS2_ColliderBackends_MultiAgentChromeExtension/ColliderDataServer/src/db/models.py,high,false
metadata_,FFS2_DataServer,schema,ORM property mapped to database column metadata.,workspaces/FFS1_ColliderDataSystems/FFS2_ColliderBackends_MultiAgentChromeExtension/ColliderDataServer/src/db/models.py,high,true
ContainerSpecies,FFS2_DataServer,container,Container classification enum for visualization/template semantics.,workspaces/FFS1_ColliderDataSystems/FFS2_ColliderBackends_MultiAgentChromeExtension/ColliderDataServer/src/schemas/nodes.py,high,false
ApiBoundary,FFS2_DataServer,policy,Per-node protocol permission flags (rest/sse/ws/webrtc/native/grpc).,workspaces/FFS1_ColliderDataSystems/FFS2_ColliderBackends_MultiAgentChromeExtension/ColliderDataServer/src/schemas/nodes.py,high,false
NodeKind,FFS2_DataServer,container,Semantic node role discriminator (workspace/tool/workflow).,workspaces/FFS1_ColliderDataSystems/FFS2_ColliderBackends_MultiAgentChromeExtension/ColliderDataServer/src/schemas/nodes.py,high,false
SkillDefinition,FFS2_DataServer,compatibility,Typed skill entry model used in current bootstrap/runtime interfaces.,workspaces/FFS1_ColliderDataSystems/FFS2_ColliderBackends_MultiAgentChromeExtension/ColliderDataServer/src/schemas/nodes.py,high,true
ToolDefinition,FFS2_DataServer,execution,Typed tool contract inside NodeContainer.,workspaces/FFS1_ColliderDataSystems/FFS2_ColliderBackends_MultiAgentChromeExtension/ColliderDataServer/src/schemas/nodes.py,high,false
WorkflowDefinition,FFS2_DataServer,execution,Ordered composition of workflow steps over tools.,workspaces/FFS1_ColliderDataSystems/FFS2_ColliderBackends_MultiAgentChromeExtension/ColliderDataServer/src/schemas/nodes.py,high,false
WorkflowStep,FFS2_DataServer,execution,Single step in workflow sequence with condition and input map.,workspaces/FFS1_ColliderDataSystems/FFS2_ColliderBackends_MultiAgentChromeExtension/ColliderDataServer/src/schemas/nodes.py,high,false
NodeContainer,FFS2_DataServer,container,Recursive canonical payload carrying context skills tools workflows.,workspaces/FFS1_ColliderDataSystems/FFS2_ColliderBackends_MultiAgentChromeExtension/ColliderDataServer/src/schemas/nodes.py,high,false
AgentToolSchema,FFS2_DataServer,bootstrap,OpenAI-compatible function schema in agent bootstrap output.,workspaces/FFS1_ColliderDataSystems/FFS2_ColliderBackends_MultiAgentChromeExtension/ColliderDataServer/src/schemas/agent_bootstrap.py,high,false
AgentSkillEntry,FFS2_DataServer,bootstrap,Rendered runtime skill projection for bootstrap payload.,workspaces/FFS1_ColliderDataSystems/FFS2_ColliderBackends_MultiAgentChromeExtension/ColliderDataServer/src/schemas/agent_bootstrap.py,high,true
AgentBootstrap,FFS2_DataServer,bootstrap,Full bootstrap payload for session context initialization.,workspaces/FFS1_ColliderDataSystems/FFS2_ColliderBackends_MultiAgentChromeExtension/ColliderDataServer/src/schemas/agent_bootstrap.py,high,false
ContextSet,FFS2_AgentRunner,composition,Session composition request contract.,workspaces/FFS1_ColliderDataSystems/FFS2_ColliderBackends_MultiAgentChromeExtension/ColliderAgentRunner/src/schemas/context_set.py,high,false
SessionPreview,FFS2_AgentRunner,composition,Composed-session summary metadata for UI/API.,workspaces/FFS1_ColliderDataSystems/FFS2_ColliderBackends_MultiAgentChromeExtension/ColliderAgentRunner/src/schemas/context_set.py,high,false
SessionResponse,FFS2_AgentRunner,composition,Agent session creation response with session_id and ws URL.,workspaces/FFS1_ColliderDataSystems/FFS2_ColliderBackends_MultiAgentChromeExtension/ColliderAgentRunner/src/schemas/context_set.py,high,true
ComposedContext,FFS2_AgentRunner,composition,Merged system prompt parts tool schemas skills and preview metadata.,workspaces/FFS1_ColliderDataSystems/FFS2_ColliderBackends_MultiAgentChromeExtension/ColliderAgentRunner/src/agent/runner.py,high,false
compose_context_set,FFS2_AgentRunner,composition,Primary context composition function used to create agent session context.,workspaces/FFS1_ColliderDataSystems/FFS2_ColliderBackends_MultiAgentChromeExtension/ColliderAgentRunner/src/agent/runner.py,high,false
ColliderGraph,FFS2_Graph_Proto_Runtime,grpc-service,Tool workflow registration discovery and execution service.,workspaces/FFS1_ColliderDataSystems/FFS2_ColliderBackends_MultiAgentChromeExtension/proto/collider_graph.proto,high,false
ColliderContext,FFS2_Graph_Proto_Runtime,grpc-service,gRPC context delivery service stream bootstrap deltas.,workspaces/FFS1_ColliderDataSystems/FFS2_ColliderBackends_MultiAgentChromeExtension/proto/collider_graph.proto,high,false
ContextChunk,FFS2_Graph_Proto_Runtime,grpc-message,Typed streaming unit for prompt skills tools and session meta.,workspaces/FFS1_ColliderDataSystems/FFS2_ColliderBackends_MultiAgentChromeExtension/proto/collider_graph.proto,high,false
SkillChunk,FFS2_Graph_Proto_Runtime,grpc-message,Streamed skill payload with additive graph-aware metadata fields.,workspaces/FFS1_ColliderDataSystems/FFS2_ColliderBackends_MultiAgentChromeExtension/proto/collider_graph.proto,high,true
ContextDelta,FFS2_Graph_Proto_Runtime,grpc-message,Live mid-session update envelope for context changes.,workspaces/FFS1_ColliderDataSystems/FFS2_ColliderBackends_MultiAgentChromeExtension/proto/collider_graph.proto,high,false
IAgentSession,FFS2_Graph_Proto_Runtime,runtime-interface,Runtime abstraction interface for agent implementations.,workspaces/FFS1_ColliderDataSystems/FFS2_ColliderBackends_MultiAgentChromeExtension/NanoClawBridge/src/sdk/agent-session.ts,high,false
ComposedContext (SDK),FFS2_Graph_Proto_Runtime,runtime-type,SDK-side context shape consumed by runtime agent sessions.,workspaces/FFS1_ColliderDataSystems/FFS2_ColliderBackends_MultiAgentChromeExtension/NanoClawBridge/src/sdk/types.ts,high,false
ContextDelta (SDK),FFS2_Graph_Proto_Runtime,runtime-type,SDK-side delta union for in-session context updates.,workspaces/FFS1_ColliderDataSystems/FFS2_ColliderBackends_MultiAgentChromeExtension/NanoClawBridge/src/sdk/types.ts,high,false
Application (frontend),FFS3,api-type,Frontend application list contract.,workspaces/FFS1_ColliderDataSystems/FFS3_ColliderApplicationsFrontendServer/apps/ffs4/src/lib/api.ts,high,true
TreeNode,FFS3,api-type,Frontend tree node shape including optional container snippets.,workspaces/FFS1_ColliderDataSystems/FFS3_ColliderApplicationsFrontendServer/apps/ffs4/src/lib/api.ts,high,false
SessionResponse (frontend),FFS3,api-type,Frontend expected response from createAgentSession.,workspaces/FFS1_ColliderDataSystems/FFS3_ColliderApplicationsFrontendServer/apps/ffs4/src/lib/api.ts,high,true
ContextRole,FFS3,state-type,Frontend role union for composition UI.,workspaces/FFS1_ColliderDataSystems/FFS3_ColliderApplicationsFrontendServer/apps/ffs4/src/stores/contextStore.ts,high,false
ContextState,FFS3,state-store,Selected app nodes role query ancestor toggles for composition.,workspaces/FFS1_ColliderDataSystems/FFS3_ColliderApplicationsFrontendServer/apps/ffs4/src/stores/contextStore.ts,high,false
Message,FFS3,session-state,Chat message model for user assistant tool timeline.,workspaces/FFS1_ColliderDataSystems/FFS3_ColliderApplicationsFrontendServer/apps/ffs4/src/stores/sessionStore.ts,high,false
SessionState,FFS3,session-state,Current agent session ws connection state and messages store.,workspaces/FFS1_ColliderDataSystems/FFS3_ColliderApplicationsFrontendServer/apps/ffs4/src/stores/sessionStore.ts,high,false
