entity_type,id,name,broad_category,formalization_level,realized_by_wave,source,target,decomposition,gap,description
axiom,AX1,No_Meta_Only_Recursive,,,,,,,,"Every entity is a container identified by URN"
axiom,AX2,Code_Is_Axiomatic,,,,,,,,"Code loaded as atomic morphisms into semantic folders"
axiom,AX3,DB_Is_Truth,,,,,,,,"morphism_log is single source of truth"
axiom,AX4,Hypergraph_Superposition,,,,,,,,"DB stores THE graph — superposition of all projected graphs"
axiom,AX5,Discovery_Retrieval_Duality,,,,,,,,"Gap between potential and actual edges IS knowledge"
category,CAT01,C,,L3,Wave 0,,,,,"Universal graph — objects=URNs morphisms=wires"
category,CAT02,Coslice(A),,L3,Wave 0,,,,,"Fan-out from A — outgoing morphisms"
category,CAT03,Slice(A),,L3,Wave 0,,,,,"Fan-in to A — incoming morphisms"
category,CAT04,Scoped(W),,L3,Wave 0,,,,,"Full subcategory — W + OWNS children"
category,CAT05,Kernel,,L3,Wave 0,,,,,"Post-dispatch unified view — all providers merge here"
category,CAT06,C_0,,L2,Wave 0,,,,"Inclusion functor not verified","Stratum 0 bootstrap primitives"
category,CAT07,C_1,,L2,Wave 4,,,,"Inclusion functor not verified","Stratum 1 authoring syntax"
category,CAT08,C_2,,L2,Wave 4,,,,"Inclusion functor not verified","Stratum 2 operational graph = C"
category,CAT09,Authored,,L1,Wave 4,,,,"Blind box — no internal structure","Manifest declarations"
category,CAT10,Validated,,L1,Wave 4,,,,"Blind box — no internal structure","Post-schema-check artifacts"
category,CAT11,Programs,,L1,Wave 2,,,,"Blind box — no internal structure","Morphism programs (ADD;LINK;MUTATE)"
category,CAT12,Lens_i,,L1,Wave 5-6,,,,"Blind box — no internal structure","UI projections / embeddings / metrics"
category,CAT13,R_1536,,L0,Wave 5,,,,,"Standard R^1536 vector space"
category,CAT14,Manifest,,L1,Wave 1,,,,"No categorical structure defined","FileSystem functor domain"
category,CAT15,React,,L1,FFS3 external,,,,"No categorical structure defined","UI_Lens functor codomain"
category,CAT16,DAG,,L1,Wave 6 planned,,,,"No categorical structure defined","Structure functor codomain"
category,CAT17,Provider_p,,L2,Wave 6,,,,"Composition not verified","Per-provider model category"
category,CAT18,Standard,,L1,Wave 6,,,,"Objects in prose only","Cross-provider evaluation target"
category,CAT19,Adapter,,L2,Wave 1 (Go),,,,"Composition implicit","CompletionRequest/Result types"
broad_cat,SUB01,identity,,L2,,,,,,Identity objects — actors
broad_cat,SUB02,structure,,L2,,,,,,Structural objects — graph blocks
broad_cat,SUB03,compute,,L2,,,,,,Compute objects — schedulable
broad_cat,SUB04,surface,,L2,,,,,,Surface objects — rendering
broad_cat,SUB05,protocol,,L2,,,,,,Protocol objects — communication
broad_cat,SUB06,infra,,L2,,,,,,Infrastructure objects — storage
broad_cat,SUB07,memory,,L2,,,,,,Memory objects — knowledge
